solar_date,lun_year,lun_month,lun_day,lun_leapmonth,year_pillar,day_pillar,day_of_week,julian_day
2000-01-01,1999,11,25,평,기묘(己卯),무오(戊午),토,2451545
2000-01-02,1999,11,26,평,기묘(己卯),기미(己未),일,2451546
2000-01-03,1999,11,27,평,기묘(己卯),경신(庚申),월,2451547
2000-01-04,1999,11,28,평,기묘(己卯),신유(辛酉),화,2451548
2000-01-05,1999,11,29,평,기묘(己卯),임술(壬戌),수,2451549
2000-01-06,1999,11,30,평,기묘(己卯),계해(癸亥),목,2451550
2000-01-07,1999,12,01,평,기묘(己卯),갑자(甲子),금,2451551
2000-01-08,1999,12,02,평,기묘(己卯),을축(乙丑),토,2451552
2000-01-09,1999,12,03,평,기묘(己卯),병인(丙寅),일,2451553
2000-01-10,1999,12,04,평,기묘(己卯),정묘(丁卯),월,2451554
2000-01-11,1999,12,05,평,기묘(己卯),무진(戊辰),화,2451555
2000-01-12,1999,12,06,평,기묘(己卯),기사(己巳),수,2451556
2000-01-13,1999,12,07,평,기묘(己卯),경오(庚午),목,2451557
2000-01-14,1999,12,08,평,기묘(己卯),신미(辛未),금,2451558
2000-01-15,1999,12,09,평,기묘(己卯),임신(壬申),토,2451559
2000-01-16,1999,12,10,평,기묘(己卯),계유(癸酉),일,2451560
2000-01-17,1999,12,11,평,기묘(己卯),갑술(甲戌),월,2451561
2000-01-18,1999,12,12,평,기묘(己卯),을해(乙亥),화,2451562
2000-01-19,1999,12,13,평,기묘(己卯),병자(丙子),수,2451563
2000-01-20,1999,12,14,평,기묘(己卯),정축(丁丑),목,2451564
2000-01-21,1999,12,15,평,기묘(己卯),무인(戊寅),금,2451565
2000-01-22,1999,12,16,평,기묘(己卯),기묘(己卯),토,2451566
2000-01-23,1999,12,17,평,기묘(己卯),경진(庚辰),일,2451567
2000-01-24,1999,12,18,평,기묘(己卯),신사(辛巳),월,2451568
2000-01-25,1999,12,19,평,기묘(己卯),임오(壬午),화,2451569
2000-01-26,1999,12,20,평,기묘(己卯),계미(癸未),수,2451570
2000-01-27,1999,12,21,평,기묘(己卯),갑신(甲申),목,2451571
2000-01-28,1999,12,22,평,기묘(己卯),을유(乙酉),금,2451572
2000-01-29,1999,12,23,평,기묘(己卯),병술(丙戌),토,2451573
2000-01-30,1999,12,24,평,기묘(己卯),정해(丁亥),일,2451574
2000-01-31,1999,12,25,평,기묘(己卯),무자(戊子),월,2451575
2000-02-01,1999,12,26,평,기묘(己卯),기축(己丑),화,2451576
2000-02-02,1999,12,27,평,기묘(己卯),경인(庚寅),수,2451577
2000-02-03,1999,12,28,평,기묘(己卯),신묘(辛卯),목,2451578
2000-02-04,1999,12,29,평,기묘(己卯),임진(壬辰),금,2451579
2000-02-05,2000,01,01,평,경진(庚辰),계사(癸巳),토,2451580
2000-02-06,2000,01,02,평,경진(庚辰),갑오(甲午),일,2451581
2000-02-07,2000,01,03,평,경진(庚辰),을미(乙未),월,2451582
2000-02-08,2000,01,04,평,경진(庚辰),병신(丙申),화,2451583
2000-02-09,2000,01,05,평,경진(庚辰),정유(丁酉),수,2451584
2000-02-10,2000,01,06,평,경진(庚辰),무술(戊戌),목,2451585
2000-02-11,2000,01,07,평,경진(庚辰),기해(己亥),금,2451586
2000-02-12,2000,01,08,평,경진(庚辰),경자(庚子),토,2451587
2000-02-13,2000,01,09,평,경진(庚辰),신축(辛丑),일,2451588
2000-02-14,2000,01,10,평,경진(庚辰),임인(壬寅),월,2451589
2000-02-15,2000,01,11,평,경진(庚辰),계묘(癸卯),화,2451590
2000-02-16,2000,01,12,평,경진(庚辰),갑진(甲辰),수,2451591
2000-02-17,2000,01,13,평,경진(庚辰),을사(乙巳),목,2451592
2000-02-18,2000,01,14,평,경진(庚辰),병오(丙午),금,2451593
2000-02-19,2000,01,15,평,경진(庚辰),정미(丁未),토,2451594
2000-02-20,2000,01,16,평,경진(庚辰),무신(戊申),일,2451595
2000-02-21,2000,01,17,평,경진(庚辰),기유(己酉),월,2451596
2000-02-22,2000,01,18,평,경진(庚辰),경술(庚戌),화,2451597
2000-02-23,2000,01,19,평,경진(庚辰),신해(辛亥),수,2451598
2000-02-24,2000,01,20,평,경진(庚辰),임자(壬子),목,2451599
2000-02-25,2000,01,21,평,경진(庚辰),계축(癸丑),금,2451600
2000-02-26,2000,01,22,평,경진(庚辰),갑인(甲寅),토,2451601
2000-02-27,2000,01,23,평,경진(庚辰),을묘(乙卯),일,2451602
2000-02-28,2000,01,24,평,경진(庚辰),병진(丙辰),월,2451603
2000-02-29,2000,01,25,평,경진(庚辰),정사(丁巳),화,2451604
2000-03-01,2000,01,26,평,경진(庚辰),무오(戊午),수,2451605
2000-03-02,2000,01,27,평,경진(庚辰),기미(己未),목,2451606
2000-03-03,2000,01,28,평,경진(庚辰),경신(庚申),금,2451607
2000-03-04,2000,01,29,평,경진(庚辰),신유(辛酉),토,2451608
2000-03-05,2000,01,30,평,경진(庚辰),임술(壬戌),일,2451609
2000-03-06,2000,02,01,평,경진(庚辰),계해(癸亥),월,2451610
2000-03-07,2000,02,02,평,경진(庚辰),갑자(甲子),화,2451611
2000-03-08,2000,02,03,평,경진(庚辰),을축(乙丑),수,2451612
2000-03-09,2000,02,04,평,경진(庚辰),병인(丙寅),목,2451613
2000-03-10,2000,02,05,평,경진(庚辰),정묘(丁卯),금,2451614
2000-03-11,2000,02,06,평,경진(庚辰),무진(戊辰),토,2451615
2000-03-12,2000,02,07,평,경진(庚辰),기사(己巳),일,2451616
2000-03-13,2000,02,08,평,경진(庚辰),경오(庚午),월,2451617
2000-03-14,2000,02,09,평,경진(庚辰),신미(辛未),화,2451618
2000-03-15,2000,02,10,평,경진(庚辰),임신(壬申),수,2451619
2000-03-16,2000,02,11,평,경진(庚辰),계유(癸酉),목,2451620
2000-03-17,2000,02,12,평,경진(庚辰),갑술(甲戌),금,2451621
2000-03-18,2000,02,13,평,경진(庚辰),을해(乙亥),토,2451622
2000-03-19,2000,02,14,평,경진(庚辰),병자(丙子),일,2451623
2000-03-20,2000,02,15,평,경진(庚辰),정축(丁丑),월,2451624
2000-03-21,2000,02,16,평,경진(庚辰),무인(戊寅),화,2451625
2000-03-22,2000,02,17,평,경진(庚辰),기묘(己卯),수,2451626
2000-03-23,2000,02,18,평,경진(庚辰),경진(庚辰),목,2451627
2000-03-24,2000,02,19,평,경진(庚辰),신사(辛巳),금,2451628
2000-03-25,2000,02,20,평,경진(庚辰),임오(壬午),토,2451629
2000-03-26,2000,02,21,평,경진(庚辰),계미(癸未),일,2451630
2000-03-27,2000,02,22,평,경진(庚辰),갑신(甲申),월,2451631
2000-03-28,2000,02,23,평,경진(庚辰),을유(乙酉),화,2451632
2000-03-29,2000,02,24,평,경진(庚辰),병술(丙戌),수,2451633
2000-03-30,2000,02,25,평,경진(庚辰),정해(丁亥),목,2451634
2000-03-31,2000,02,26,평,경진(庚辰),무자(戊子),금,2451635
2000-04-01,2000,02,27,평,경진(庚辰),기축(己丑),토,2451636
2000-04-02,2000,02,28,평,경진(庚辰),경인(庚寅),일,2451637
2000-04-03,2000,02,29,평,경진(庚辰),신묘(辛卯),월,2451638
