year,month,date,datetime,dateName,sunLongitude
2000,01,2000-01-06,2000-01-06 10:01,소한,
2000,01,2000-01-21,2000-01-21 03:23,대한,
2000,02,2000-02-04,2000-02-04 21:40,입춘,
2000,02,2000-02-19,2000-02-19 17:33,입춘,
2000,03,2000-03-05,2000-03-05 15:43,경칩,
2000,03,2000-03-20,2000-03-20 16:35,춘분,
2000,04,2000-04-04,2000-04-04 20:32,청명,
2000,04,2000-04-20,2000-04-20 03:40,곡우,
2000,05,2000-05-05,2000-05-05 13:50,입하,
2000,05,2000-05-21,2000-05-21 02:49,소만,
2000,06,2000-06-05,2000-06-05 17:59,망종,
2000,06,2000-06-21,2000-06-21 10:48,하지,
2000,07,2000-07-07,2000-07-07 04:14,소서,
2000,07,2000-07-22,2000-07-22 21:43,대서,
2000,08,2000-08-07,2000-08-07 14:03,입추,
2000,08,2000-08-23,2000-08-23 04:49,처서,
2000,09,2000-09-07,2000-09-07 16:59,백로,
2000,09,2000-09-23,2000-09-23 02:28,추분,
2000,10,2000-10-08,2000-10-08 08:38,한로,
2000,10,2000-10-23,2000-10-23 11:47,상강,
2000,11,2000-11-07,2000-11-07 11:48,입동,
2000,11,2000-11-22,2000-11-22 09:19,소설,
2000,12,2000-12-07,2000-12-07 04:37,대설,
2000,12,2000-12-21,2000-12-21 22:37,동지,
2001,01,2001-01-05,2001-01-05 15:49,소한,
2001,01,2001-01-20,2001-01-20 09:16,대한,
2001,02,2001-02-04,2001-02-04 03:29,입춘,
2001,02,2001-02-18,2001-02-18 23:27,우수,
2001,03,2001-03-05,2001-03-05 21:33,경칩,
2001,03,2001-03-20,2001-03-20 22:31,춘분,
2001,04,2001-04-05,2001-04-05 02:24,청명,
2001,04,2001-04-20,2001-04-20 09:36,곡우,
2001,05,2001-05-05,2001-05-05 19:45,입하,
2001,05,2001-05-21,2001-05-21 08:44,소만,
2001,06,2001-06-05,2001-06-05 23:54,망종,
2001,06,2001-06-21,2001-06-21 16:38,하지,
2001,07,2001-07-07,2001-07-07 10:07,소서,
2001,07,2001-07-23,2001-07-23 03:26,대서,
2001,08,2001-08-07,2001-08-07 19:52,입추,
2001,08,2001-08-23,2001-08-23 10:27,처서,
2001,09,2001-09-07,2001-09-07 22:46,백로,
2001,09,2001-09-23,2001-09-23 08:04,추분,
2001,10,2001-10-08,2001-10-08 14:25,한로,
2001,10,2001-10-23,2001-10-23 17:26,상강,
2001,11,2001-11-07,2001-11-07 17:37,입동,
2001,11,2001-11-22,2001-11-22 15:00,소설,
2001,12,2001-12-07,2001-12-07 10:29,대설,
2001,12,2001-12-22,2001-12-22 04:21,동지,
2002,01,2002-01-05,2002-01-05 21:44,소한,
2002,01,2002-01-20,2002-01-20 15:02,대한,
2002,02,2002-02-04,2002-02-04 09:24,입춘,
2002,02,2002-02-19,2002-02-19 05:13,우수,
2002,03,2002-03-06,2002-03-06 03:28,경칩,
2002,03,2002-03-21,2002-03-21 04:16,춘분,
2002,04,2002-04-05,2002-04-05 08:18,청명,
2002,04,2002-04-20,2002-04-20 15:20,곡우,
2002,05,2002-05-06,2002-05-06 01:37,입하,
2002,05,2002-05-21,2002-05-21 14:29,소만,
2002,06,2002-06-06,2002-06-06 05:45,망종,
2002,06,2002-06-21,2002-06-21 22:24,하지,
